GTR1 ID,Index,Ticker Symbol,Company Name,CUSIP,field1=styp.a,field2=dspo:1,field16=ord:1,field10=perendq1.s,[Q1End],"field17=linear:1,field16,-1,field12",field39=sic.a,"field40=if:field39et6510!6512!6531!6798,1,0",[RealEstOps],field42=trbc2.s,"field43=ifet:field42,55,1,0",field46=fincd12.a,[Finance],[Financial],field3=shrinst.s,field4=float.s,field5=epsq1.s,field6=epsq5.s,field7=salesq1.s,field8=salesq5.s,"field9=trp:1,126","field13=agv:1,10",field18=gtoa.a,"field19=ratio:field13,field18","field20=linear:1,field5,-1,field6","field21=linear:1,field7,-1,field8",field24=csoq1d.s,field25=sprc,"field26=product:field24,field25",[MktCap],field31=fcfps12mq1d.s,"field32=ratio:field25,field31",[PFCF],"field14=agv:1,63",[VR],"field36=ratio:field14,field18","field37=ratio:field9,field36",[SORT],,,,,,
42012,9025,SBOW,SILVERBOW RESORCES INC,'82836G102,11,1032,25247,25197,25197,50,1311,0,0,50,0,4,0,0,74.6,10.957,2.359,-0.495,86.7,53.4,334.5489,5029214,26.33708,190955.6,2.854,33.3,12.19697,22.64,276.1394,276.1394,8.74,2.590389,2.590389,3068941,1.638746,116525.5,0.002871036,0.004704898,,,,,,
2872,984,COKE,COCA COLA CONSOLIDATED INC,'191098102,11,9734,25247,25198,25198,49,2080,0,0,54,0,1,0,0,50.2,4.68,5.693,1.564,1269.9,1173,66.1143,226550.5,5.470953,41409.7,4.129,96.90002,9.373598,432.23,4051.55,4051.55,31.24,13.83579,13.83579,167047.5,1.356204,30533.53,0.002165302,0.002936591,,,,,,
15039,2387,LEE,LEE ENTERPRISES INC,'523768406,11,12925,25247,25194,25194,53,2711,0,0,53,0,1,0,0,34.5,5.06,-0.198,-0.949,192.4,121.4,159.4828,70304.17,2.182038,32219.5,0.751,70.99999,5.875725,30.1,176.8593,176.8593,12.87,2.338772,2.338772,93898.25,0.7487272,43032.37,0.003706112,0.002774867,,,,,,
18778,4940,HOV,HOVNANIAN ENTERPRISES INC CL A,'442487401,11,9512,25247,25155,25155,92,1531,0,0,53,0,12,0,0,44.8,5.444,3.046,-1.485,574.7,494.1,161.4385,4963426,23.13597,214532.8,4.531,80.60001,6.151307,94.51001,581.3601,581.3601,24.9,3.795583,3.795583,2600251,1.908826,112389.9,0.001436414,0.002741863,,,,,,
41510,367,CLGN,COLLPLANT BIOTECHNOLOGIES LTD,'M2R51X116,12,846,25247,25197,25197,50,8731,0,0,56,0,12,0,0,18.3,6.507,1.203,-0.24,14.5,0.6,101.4328,291410.8,8.822826,33029.2,1.443,13.9,9.914383,16.87,167.2556,167.2556,0.97,17.39175,17.39175,349673.8,0.8333791,39632.86,0.002559311,0.002132877,,,,,,
40810,2610,QRHC,QUEST RESOURCE HOLDING CORP,'74836W203,11,1779,25247,25197,25197,50,4953,0,0,52,0,12,0,0,46.5,14.495,0.062,-0.015,35.1,25.3,194,3398862,27.94829,121612.5,0.077,9.799999,18.71154,5.88,110.0238,110.0238,0.36,16.33333,16.33333,3188252,1.066058,114076.8,0.001700609,0.001812947,,,,,,
4326,7801,CPAC,CEMENTOS PACASMAYO S A A ADS,'15126Q208,31,2350,25247,25197,25197,50,3241,0,0,51,0,3,0,0,6.1,50.426,0.096,0.032,120.1,77.3,5.92885,337639.6,9.351628,36104.9,0.064,42.8,90.70694,8.04,729.2838,729.2838,0.63,12.7619,12.7619,103045.3,3.276613,11018.97,0.0005380586,0.00176301,,,,,,
23177,6004,IMBI,IMEDIA BRANDS INC CL A,'452465206,11,7545,25247,25155,25155,92,5960,0,0,53,0,9,0,0,27.8,13.627,-0.209,-2.301,124.8,123.6,63.8418,3575566,8.900196,401740.1,2.092,1.200005,16.3859,8.7,142.5573,142.5573,0.79,11.01266,11.01266,1126845,3.173075,126609,0.0005042435,0.001600003,,,,,,
41600,8761,GPP,GREEN PLAINS PARTNERS LP,'393221106,71,1500,25247,25197,25197,50,4922,0,0,50,0,8,0,0,24.3,11.406,0.463,0.448,20.4,20.3,46.36132,436086.6,8.453895,51584.11,0.01499999,0.1000004,23.20754,12.67,294.0396,294.0396,1.45,8.737931,8.737931,332283.2,1.312394,39305.34,0.001179517,0.001547992,,,,,,
2536,3789,JOUT,JOHNSON OUTDOORS INC CL A,'479167108,11,8485,25247,25198,25198,49,3940,0,0,53,0,1,0,0,76.4,8.165,2.763,2.032,206.2,163.1,42.2207,412492,12.9141,31941.2,0.7309999,43.09999,10.11801,124.1,1255.645,1255.645,5.28,23.50379,23.50379,448178.3,0.9203747,34704.56,0.001216575,0.001119705,,,,,,
27146,8217,ZEUS,OLYMPIC STEEL INC,'68162K106,11,6862,25247,25197,25197,50,5050,0,0,51,0,9,0,0,72.1,9.292,1.915,0.052,463.1,354.4,123.359,2991058,12.50033,239278.4,1.863,108.7,11.07812,35.12,389.0636,389.0636,3.42,10.26901,10.26901,2079948,1.438045,166391.5,0.0007413779,0.001066134,,,,,,
43953,543,MEC,MAYVILLE ENGINEERING COMPANY INC,'578605107,11,527,25247,25197,25197,50,3545,0,0,53,0,3,0,0,78.1,19.673,0.126,0.003,112.6,108.6,44.35859,723753.8,15.82321,45740,0.123,4,20.39515,18.68,380.9815,380.9815,1.35,13.83704,13.83704,695297.1,1.040927,43941.59,0.00100949,0.001050806,,,,,,
34575,586,USIO,USIO INC,'917313108,11,1469,25247,25197,25197,50,7374,0,0,52,0,6,0,0,36.2,15.807,-0.036,-0.064,13.5,7.8,201.8692,1.175948E+08,1037.085,113389.8,0.028,5.7,25.05311,6.460001,161.8431,161.8431,1.16,5.568965,5.568965,1.533049E+08,0.7670649,147823,0.001365614,0.001047515,,,,,,
37611,6124,EGLE,EAGLE BULK SHIPPING INC,'Y2187A150,12,4019,25247,25197,25197,50,4412,0,0,52,0,12,0,0,80.9,12.294,0.84,-0.344,96.6,74.4,162.7075,1.447769E+10,90416.83,160121.7,1.184,22.2,12.55375,50.65,635.8472,635.8472,3.63,13.95317,13.95317,1.485508E+10,0.9745957,164295.5,0.0009903344,0.0009651757,,,,,,
4554,7346,TGLS,TECNOGLASS INC,'G87264100,12,2286,25247,25197,25197,50,9999,0,0,53,0,12,0,0,20.8,20.823,0.171,-0.407,110.9,87.3,313.9898,6243548,7.77606,802919.3,0.578,23.6,47.67554,22.71,1082.712,1082.712,1.65,13.76364,13.76364,4012681,1.555954,516030.1,0.000608472,0.0009467547,,,,,,
32587,6141,CRAI,CRA INTERNATIONAL INC,'12618T105,11,5821,25247,25198,25198,49,8748,0,0,52,0,12,0,0,94.6,7.053,1.371,0.825,146.5,126.2,61.25302,574120.6,18.12988,31667.1,0.5460001,20.3,7.323124,83.95,614.7762,614.7762,8.71,9.638347,9.638347,861043.5,0.6667731,47493.07,0.001289725,0.0008599541,,,,,,
24414,2639,UFI,UNIFI INC,'904677200,11,12222,25247,25194,25194,53,2282,0,0,53,0,1,0,0,76,16.387,0.257,-2.225,178.9,171,45.96634,44091.13,0.6859828,64274.4,2.482,7.899994,18.4913,25.15,465.0561,465.0561,1.66,15.1506,15.1506,41660.57,1.058342,60731.22,0.0007568815,0.0008010395,,,,,,
6374,2758,BSET,BASSETT FURNITURE INDUSTRIES INC,'070203104,11,12228,25247,25174,25174,73,2511,0,0,53,0,2,0,0,56.9,9.255,0.404,0.121,113.7,112.1,66.81515,115908.2,1.51642,76435.41,0.283,1.599998,9.910004,30.7,304.2371,304.2371,3.44,8.924418,8.924418,123211.1,0.9407285,81251.28,0.0008223273,0.0007735868,,,,,,
25451,910,SCVL,SHOE CARNIVAL INC,'824889109,11,7112,25247,25155,25155,92,5660,0,0,53,0,9,0,0,71.5,8.187,0.528,0.248,253.9,239.9,77.61048,675564.5,5.03002,134306.5,0.28,14,14.17345,67.91,962.519,962.519,3.15,21.55873,21.55873,625429.2,1.080161,124339.3,0.000624183,0.0006742184,,,,,,
44721,2706,ONEW,ONEWATER MARINE INC CL A,'68280L101,11,338,25247,25197,25197,50,2451,0,0,53,0,12,0,0,80.4,9.081,1.878,0.178,329.6,190,59.91333,1186794,14.3773,82546.39,1.7,139.6,15.0384,44.28,665.9002,665.9002,43.26,1.023578,1.023578,1258342,0.9431417,87522.79,0.0006845454,0.0006456234,,,,,,
45601,7724,CEIX,CONSOL ENERGY INC,'20854L108,11,888,25247,25197,25197,50,1231,0,0,50,0,4,0,0,80.2,33.746,0.772,0.091,333.1,291,193.0899,2.074518E+07,51.98089,399092.5,0.681,42.10001,34.43716,17.58,605.4053,605.4053,2.55,6.894118,6.894118,1.822062E+07,1.138555,350525.3,0.0005508586,0.000627183,,,,,,
43660,7795,ATCX,ATLAS TECHNICAL CONSULTANTS INC CL A,'049430101,11,612,25247,25198,25198,49,8711,0,0,52,0,12,0,0,32.6,26.469,-0.598,-0.758,123.3,109.3,30.76924,1560987,9.425599,165611.4,0.16,14,36.01905,10.03,361.2711,361.2711,0.83,12.08434,12.08434,874642.2,1.784714,92794.34,0.0003315853,0.0005917851,,,,,,
39510,5373,TITN,TITAN MACHINERY INC,'88830R101,11,3401,25247,25155,25155,92,5080,0,0,52,0,9,0,0,76.6,19.399,0.034,0.03,436.7,351,63.02906,3311810,8.363309,395992.8,0.004000003,85.70001,22.51897,31.97,719.9313,719.9313,7.49,4.268358,4.268358,1863874,1.776842,222863.2,0.000282815,0.0005025177,,,,,,
26205,3447,MOV,MOVADO GROUP INC,'624580106,11,6974,25247,25218,25218,29,3873,0,0,53,0,3,0,0,86.9,16.559,0.403,-6.482,134.8,69.7,82.78919,472211.5,2.350702,200881.1,6.885,65.10001,23.37901,31.32589,732.3684,732.3684,2.99,10.47689,10.47689,432407.8,1.092051,183948.4,0.0004500675,0.0004914967,,,,,,
12793,1951,HVT,HAVERTY FURNITURE COMPANIES INC,'419596101,11,11039,25247,25197,25197,50,5712,0,0,53,0,9,0,0,95,15.69,1.065,0.096,236.5,179.5,96.06747,31563.23,0.1640887,192354.7,0.969,57,18.26429,50.61,924.3555,924.3555,5.25,9.639999,9.639999,31884.03,0.9899386,194309.7,0.0004944038,0.0004894294,,,,,,
37591,4225,CTRN,CITI TRENDS INC,'17306X102,11,4044,25247,25155,25155,92,5600,0,0,53,0,9,0,0,93.5,8.848,1.827,0.841,251.9,211,101.3295,4279138,13.98574,305964.4,0.986,40.89999,9.417566,84.8,798.6096,798.6096,9.1,9.318681,9.318681,3535980,1.210171,252827.5,0.0004007852,0.0004850184,,,,,,
40834,8297,LE,LANDS END INC,'51509F105,11,1808,25247,25218,25218,29,5651,0,0,53,0,9,0,0,42.5,14.036,0.081,-0.636,321.3,217,72.44133,1.548772E+07,41.55739,372682.6,0.717,104.3,32.7503,34.54,1131.195,1131.195,3.35,10.31045,10.31045,9963125,1.554504,239743.8,0.0003021615,0.0004697112,,,,,,
12878,656,IIN,INTRICON CORP,'46121H109,11,14182,25247,25197,25197,50,3670,0,0,56,0,6,0,0,68.8,8.43,0.079,-0.225,31.8,21.5,24.48156,40947.79,0.9644599,42456.7,0.304,10.3,9.073582,21.61,196.0801,196.0801,1.06,20.38679,20.38679,45667.68,0.8966469,47350.52,0.0005170283,0.0004635918,,,,,,
39846,3176,MYRG,MYR GROUP INC,'55405W104,11,3211,25247,25197,25197,50,9999,0,0,52,0,12,0,0,93.3,16.41,1.189,0.597,592.5,518.5,53.27772,2308390,13.92666,165753.3,0.592,74,16.82717,90.02,1514.782,1514.782,9.26,9.721382,9.721382,1942767,1.188197,139499.9,0.0003819195,0.0004537956,,,,,,
22758,1058,RDNT,RADNET INC,'750491102,11,3606,25247,25197,25197,50,8071,0,0,56,0,10,0,0,68.1,45.059,0.182,-0.325,315.3,281.6,58.56998,4387166,13.91455,315293.3,0.507,33.69998,52.70095,31.27,1647.959,1647.959,3.19,9.802506,9.802506,2838108,1.545806,203966.9,0.0002871543,0.0004438849,,,,,,
37372,5758,BXC,BLUELINX HOLDINGS INC,'09624H208,11,4151,25247,25198,25198,49,5031,0,0,53,0,9,0,0,76.2,9.154,6.535,-0.084,1025.5,662.1,60.6432,2.783254E+07,95.30157,292047,6.619,363.4,9.467257,41.96,397.2461,397.2461,9.17,4.57579,4.57579,1.928188E+07,1.443455,202324.9,0.0002997317,0.0004326493,,,,,,
16676,1967,NATR,NATURE S SUNSHINE PRODUCTS INC,'639027101,11,2936,25247,25197,25197,50,2833,0,0,54,0,10,0,0,80.6,19.289,0.203,0.152,102.4,95.9,60.02121,5838.403,0.1210393,48235.6,0.051,6.5,19.94618,19.98,398.5247,398.5247,1.11,18,18,10073.99,0.5795521,83229.11,0.0007211565,0.0004179477,,,,,,
1801,1383,CATO,CATO CORP THE CL A,'149205106,11,8604,25247,25218,25218,29,5621,0,0,53,0,9,0,0,65.7,19.317,0.92,-1.187,213.1,100.7,91.2963,169662.7,1.431625,118510.5,2.107,112.4,22.59259,16.51,373.0037,373.0037,3.41,4.841642,4.841642,230470.8,0.7361569,160985.5,0.000567109,0.0004174812,,,,,,
3402,7283,PCYG,PARK CITY GROUP INC,'700215304,11,2669,25247,25197,25197,50,7374,0,0,57,0,6,0,0,34.1,12.187,0.032,0.006,6,4.6,25.26095,332155.2,4.956816,67009.8,0.026,1.4,19.47541,6,116.8525,116.8525,0.26,23.07692,23.07692,317867.9,1.044948,64127.43,0.000393918,0.0004116236,,,,,,
42248,1314,AMPY,AMPLIFY ENERGY CORP,'03212B103,11,1165,25247,25197,25197,50,1311,0,0,50,0,4,0,0,33.2,37.624,-0.511,-9.774,72.5,58.1,228.3582,1.243635E+07,18.75795,662990.8,9.263,14.4,37.96392,4.4,167.0413,167.0413,2,2.2,2.2,1.147065E+07,1.084189,611508.6,0.0003734342,0.0004048732,,,,,,
24129,6873,CENT,CENTRAL GARDEN & PET COMPANY,'153527106,11,7028,25247,25194,25194,53,5199,0,0,54,0,9,0,0,94.2,49.669,1.355,0.787,935.3,703.2,47.17032,159121.3,3.316104,47984.4,0.568,232.1,52.29917,55.91,2924.047,2924.047,3.37,16.59051,16.59051,249874.7,0.6368042,75351.9,0.0006260004,0.0003986396,,,,,,
12786,5724,AMOT,ALLIED MOTION TECHNOLOGIES INC,'019330109,11,12221,25247,25197,25197,50,3820,0,0,52,0,6,0,0,60.8,12.172,0.834,0.285,101.7,92.4,15.34108,8290.44,0.1890662,43849.39,0.549,9.299995,14.70493,36.63,538.6417,538.6417,1.49,24.58389,24.58389,7947.278,1.04318,42034.36,0.0003649652,0.0003807244,,,,,,
38450,1694,ICFI,ICF INTERNATIONAL INC,'44925C103,11,3700,25247,25197,25197,50,8742,0,0,52,0,12,0,0,94.7,18.082,0.972,0.563,378.5,358.2,23.31423,953313.9,10.96632,86931.03,0.409,20.29999,18.83729,94.5821,1781.67,1781.67,8.68,10.89655,10.89655,809022.9,1.178352,73773.39,0.0003160249,0.0003723886,,,,,,
15549,2492,SUP,SUPERIOR INDUSTRIES INTERNATIONAL INC,'868168105,11,12638,25247,25197,25197,50,3714,0,0,53,0,2,0,0,42.1,24.8,0.187,-7.842,358.2,301.1,66.79389,120047.2,0.3334176,360050.7,8.029,57.10001,25.94438,8.74,226.7538,226.7538,3.15,2.774603,2.774603,84924.15,1.413582,254708.1,0.0002622371,0.0003706936,,,,,,
39671,2688,IPI,INTREPID POTASH INC,'46121Y201,11,3308,25247,25197,25197,50,2819,0,0,51,0,5,0,0,38.5,8.291,0.188,-0.571,71.5,64,82.92526,5.204995E+07,429.6029,121158.3,0.7589999,7.5,13.44675,28.39,381.7533,381.7533,2.35,12.08085,12.08085,7.09965E+07,0.7331341,165260.8,0.0005017844,0.0003678752,,,,,,
22773,5418,LCUT,LIFETIME BRANDS INC,'53222Q103,11,7562,25247,25197,25197,50,5070,0,0,53,0,9,0,0,49.1,11.842,0.145,-1.358,195.7,145.1,16.43078,160334.6,2.393104,66998.6,1.503,50.59999,21.97703,16.62,365.2581,365.2581,1.97,8.436548,8.436548,132550.7,1.20961,55388.61,0.0002966455,0.0003588252,,,,,,
28849,6252,KFRC,KFORCE INC,'493732101,11,6501,25247,25197,25197,50,7361,0,0,52,0,12,0,0,88.5,20.555,0.634,0.422,363.2,335.2,46.887,189595.7,2.617694,72428.53,0.212,28,21.91564,62.89017,1378.279,1378.279,4.96,12.67947,12.67947,257167.9,0.7372448,98242.17,0.0004772595,0.000351857,,,,,,
42511,8875,WOW,WIDEOPENWEST INC,'96758W101,11,1018,25247,25197,25197,50,4841,0,0,53,0,7,0,0,79.2,51.914,0.117,0.001,286.3,284.5,107.2261,6959409,16.39095,424588.4,0.116,1.799988,87.12086,17.78,1549.009,1549.009,0.79,22.50633,22.50633,5974692,1.164815,364511.5,0.0002941639,0.0003426464,,,,,,
41209,8561,USDP,USD PARTNERS LP,'903318103,71,1679,25247,25197,25197,50,4011,0,0,50,0,12,0,0,31.8,8.445,0.271,-1.267,30.6,30.2,88.42367,512104.6,7.27537,70388.8,1.538,0.3999996,27.68073,6.89,190.7202,190.7202,1.23,5.601625,5.601625,991128.8,0.5166882,136230.7,0.000649073,0.0003353684,,,,,,
9133,4662,CTG,COMPUTER TASK GROUP INC,'205477102,11,10395,25247,25198,25198,49,7371,0,0,57,0,6,0,0,51.7,12.623,0.11,0.084,97.1,86.9,40.20617,34950.92,0.7308499,47822.3,0.026,10.2,15.37359,9.52,146.3566,146.3566,0.79,12.05063,12.05063,55431.09,0.6305292,75844.71,0.0005301117,0.0003342509,,,,,,
36573,1091,CVCO,CAVCO INDUSTRIES INC,'149568107,11,4518,25247,25198,25198,49,2541,0,0,53,0,3,0,0,94.4,8.499,2.739,1.31,306.5,255.3,18.35707,112764.3,3.072622,36699.7,1.429,51.2,9.177106,218.57,2005.84,2005.84,9.52,22.95903,22.95903,138480.5,0.8142976,45069.15,0.0004073091,0.0003316708,,,,,,
3042,1367,SIG,SIGNET JEWELERS LTD,'G81276100,12,8294,25247,25155,25155,92,5944,0,0,53,0,9,0,0,97.2,51.352,4.698,3.458,2186.5,2153.3,172.5119,5.536028E+07,33.58952,1648141,1.24,33.19995,52.36409,74.74999,3914.215,3914.215,24.12,3.099087,3.099087,3.118806E+07,1.775047,928505.6,0.0001857952,0.0003297952,,,,,,
43134,9351,CHRA,CHARAH SOLUTIONS INC,'15957P105,11,753,25247,25197,25197,50,4953,0,0,52,0,12,0,0,87.9,11.909,-0.116,-0.484,52.1,51.3,111.2676,1121851,11.75482,95437.49,0.368,0.7999992,30.42553,6,182.5532,182.5532,1.35,4.444444,4.444444,2138392,0.5246235,181916.2,0.0006116423,0.0003208819,,,,,,
43357,3019,SIC,SELECT INTERIOR CONCEPTS INC CL A,'816120307,11,709,25247,25197,25197,50,1521,0,0,53,0,12,0,0,56.7,20.682,-0.071,-0.159,137.8,134.4,42.15427,1050136,12.34993,85031.7,0.08799999,3.400009,25.54206,10.69,273.0446,273.0446,0.63,16.96825,16.96825,1323253,0.793602,107146.5,0.0003934263,0.0003122239,,,,,,
2412,6273,IMKTA,INGLES MARKETS INC CL A,'457030104,11,8498,25247,25194,25194,53,5410,0,0,54,0,9,0,0,94,14.222,2.583,1.989,1184.6,1145.5,48.16395,181689.8,2.797306,64951.7,0.594,39.09998,18.99469,62.87,1194.196,1194.196,5.35,11.7514,11.7514,284529.8,0.6385615,101715.6,0.0004735157,0.0003023689,,,,,,
23695,3876,USAK,USA TRUCK INC,'902925106,11,7362,25247,25197,25197,50,4210,0,0,52,0,12,0,0,57.3,7.099,0.407,-0.295,158.5,126.8,77.64579,622980.6,5.753906,108270.9,0.702,31.7,8.878563,16.45,146.0524,146.0524,4.28,3.843458,3.843458,962292.1,0.6473923,167241.5,0.0004642734,0.000300567,,,,,,
30436,9211,CSV,CARRIAGE SERVICES INC,'143905107,11,6251,25247,25197,25197,50,7261,0,0,54,0,9,0,0,76.8,16.398,0.718,-0.235,96.6,77.5,28.80455,958777.4,12.85063,74609.4,0.953,19.1,18.04768,38.24,690.1433,690.1433,4.04,9.465346,9.465346,1109039,0.8645117,86302.36,0.0003337632,0.0002885422,,,,,,
11515,1201,ROG,ROGERS CORP,'775133101,11,14837,25247,25197,25197,50,2821,0,0,57,0,5,0,0,98.5,18.535,1.668,0.71,229.3,198.8,23.58779,28027.93,0.5488387,51067.7,0.958,30.5,18.7122,190.56,3565.798,3565.798,8.55,22.28772,22.28772,35920.08,0.7802858,65447.43,0.0003604081,0.0002812213,,,,,,
13207,4466,HURC,HURCO COMPANIES INC,'447324104,11,10284,25247,25218,25218,29,3540,0,0,52,0,3,0,0,81.3,6.244,0.369,-0.577,57.9,37.1,7.178736,309169.4,9.112488,33928.1,0.946,20.8,6.583357,35.19,231.6684,231.6684,4.44,7.925676,7.925676,270218.2,1.144147,29653.61,0.0002420864,0.0002769825,,,,,,
26053,1099,FLL,FULL HOUSE RESORTS INC,'359678109,11,3995,25247,25197,25197,50,7011,0,0,53,0,12,0,0,52.7,32.031,-0.126,-0.161,42.2,30.9,176.6854,4550729,11.51611,395161.9,0.035,11.3,34.11163,9.85,335.9996,335.9996,0.59,16.69492,16.69492,5799818,0.784633,503626.4,0.0003508264,0.00027527,,,,,,
23907,3624,ARCB,ARCBEST CORP,'03937C105,11,7324,25247,25197,25197,50,4210,0,0,52,0,12,0,0,91.4,24.978,0.918,0.075,829.2,701.4,36.17575,5969060,9.036537,660547.3,0.843,127.8,25.38572,60.1,1525.682,1525.682,5.7,10.54386,10.54386,2686011,2.222277,297239,0.0001217059,0.0002704643,,,,,,
39223,4736,BKEP,BLUEKNIGHT ENERGY PARTNERS L P,'09625U109,71,2535,25247,25197,25197,50,4610,0,0,50,0,12,0,0,29.5,3.464,1.787,-0.153,27.1,25.7,125.5721,4491154,25.9735,172912.9,1.94,1.4,41.47699,3.96,164.2489,164.2489,0.26,15.23077,15.23077,7498095,0.5989726,288682.5,0.0004349833,0.0002605431,,,,,,
42379,6991,REVG,REV GROUP INC,'749527107,11,1100,25247,25155,25155,92,3716,0,0,52,0,2,0,0,98,28.407,0,-0.15,554,532.1,51.67464,2.116543E+07,23.6989,893097.6,0.15,21.90002,64.51907,15.85,1022.627,1022.627,0.97,16.3402,16.3402,9982829,2.120184,421235.9,0.0001226739,0.0002600911,,,,,,
38436,6749,GSL,GLOBAL SHIP LEASE INC NEW CL A,'Y27183600,12,3699,25247,25197,25197,50,4499,0,0,52,0,12,0,0,29.2,20.795,0.13,0.035,73,70.9,102.5488,2.51257E+07,40.82237,615488.6,0.095,2.099998,36.9576,20.38,753.1959,753.1959,4.8,4.245833,4.245833,2.014259E+07,1.247392,493420.5,0.0002078325,0.0002592486,,,,,,
42964,7680,LAZY,LAZYDAYS HOLDINGS INC,'52110H100,11,815,25247,25136,25136,111,5511,0,0,53,0,9,0,0,68.8,10.356,0.751,-0.216,196.6,144.9,64.27567,850378.6,9.566565,88890.7,0.967,51.70001,10.75905,23.36,251.3313,251.3313,7.360001,3.173913,3.173913,1433586,0.5931828,149853.8,0.0004289225,0.0002544294,,,,,,
30731,3349,HIBB,HIBBETT SPORTS INC,'428567101,11,6207,25247,25155,25155,92,5941,0,0,53,0,9,0,0,95,16.001,1.447,0.349,376.8,313,79.70265,1463597,3.405608,429760.8,1.098,63.79999,16.20734,83.4,1351.692,1351.692,9.56,8.723849,8.723849,1281269,1.142303,376223.2,0.0002118494,0.0002419961,,,,,,
42217,6876,DFIN,DONNELLEY FINANCIAL SOLUTIONS INC,'25787G100,11,1180,25247,25197,25197,50,6282,0,0,52,0,11,0,0,92.7,32.377,1.048,0.12,245.3,220.7,76.88052,4141074,23.46922,176447,0.928,24.60001,33.46671,31.98,1070.265,1070.265,3.6,8.883333,8.883333,5560178,0.7447737,236913.6,0.0003245087,0.0002416855,,,,,,
5574,2611,NVGS,NAVIGATOR HOLDINGS LTD,'Y62132108,12,1900,25247,25136,25136,111,0,0,0,50,0,0,0,0,27.8,30.857,0.058,-0.05,87.4,76.1,40.0507,1478762,19.95463,74106.2,0.108,11.3,55.89184,11.05,617.6048,617.6048,0.8,13.8125,13.8125,2219131,0.6663696,111208.8,0.0003601395,0.000239986,,,,,,
3473,5291,INFU,INFUSYSTEMS HOLDINGS INC,'45685K102,11,2633,25247,25197,25197,50,3841,0,0,56,0,10,0,0,71.7,19.538,0.033,-0.021,24.5,21.6,20.1074,239696.9,2.404083,99704.1,0.054,2.9,20.47104,20.13,412.082,412.082,0.82,24.54878,24.54878,224277.5,1.068751,93290.29,0.0002155358,0.0002303542,,,,,,
42524,7926,PLYM,PLYMOUTH INDUSTRIAL REIT INC,'729640102,18,1008,25247,25197,25197,50,6798,1,1,60,0,11,0,0,80.1,26.549,-0.237,-0.526,31.9,26.2,52.40219,2777461,13.30327,208780.4,0.289,5.699999,29.40329,20,588.0659,588.0659,1.23,16.26016,16.26016,2916683,0.9522672,219245.6,0.0002390113,0.0002276026,,,,,,
24380,1316,MTX,MINERALS TECHNOLOGIES INC,'603158106,11,7210,25247,25198,25198,49,2819,0,0,51,0,5,0,0,99.4,33.424,1.18,1.122,452.6,417.5,31.0066,853375.1,6.463317,132033.6,0.05799997,35.10001,33.72949,83.03999,2800.897,2800.897,5.85,14.19487,14.19487,869488.2,0.9814683,134526.6,0.0002304867,0.0002262154,,,,,,
27608,4227,MATW,MATTHEWS INTERNATIONAL CORP CL A,'577128101,11,6772,25247,25197,25197,50,7319,0,0,53,0,12,0,0,79.8,30.016,0.158,-2.773,417.2,374.8,35.84034,207599.2,2.448788,84776.3,2.931,42.40002,31.65719,38.9,1231.465,1231.465,4.68,8.311966,8.311966,285235.9,0.7278159,116480.4,0.0003076941,0.0002239447,,,,,,
